step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
716,-15.007151500121397,241,-15.007151500121397,241,716,0,710,0.00355,2,0.09284849987859312,0.0,-15.09999999999999,0.0,0.0,-15.007151500121397,1.0
949,-15.37298891258239,265,-15.37298891258239,265,949,0,943,0.004715,3,0.12701108741760253,0.0,-15.499999999999991,0.0,0.0,-15.37298891258239,1.0
1023,-1.5791637887540073,221,-1.5791637887540073,221,1023,0,1017,0.005085,0,0.0708362112459929,0.0,-1.65,0.0,0.0,-1.5791637887540073,1.0
1616,-8.24379704027591,241,-8.24379704027591,241,1616,0,1610,0.00805,1,0.10620295972409455,0.0,-8.350000000000005,0.0,0.0,-8.24379704027591,1.0
1624,-4.455417472839357,232,-4.455417472839357,232,1624,0,1620,0.0081,2,0.09458252716064453,0.0,-4.550000000000001,0.0,0.0,-4.455417472839357,1.0
1917,-18.12917105931819,223,-18.12917105931819,223,1917,0,1911,0.009555,0,0.07082894068178923,0.0,-18.199999999999978,0.0,0.0,-18.12917105931819,1.0
2240,-2.1871805185235065,292,-2.1871805185235065,292,2240,0,2234,0.01117,3,0.2128194814764935,0.0,-2.4,0.0,0.0,-2.1871805185235065,1.0
2825,-18.52897698219961,218,-18.52897698219961,218,2825,0,2819,0.014095,0,0.07102301780037257,0.0,-18.59999999999998,0.0,0.0,-18.52897698219961,1.0
2830,-15.931407464566426,246,-15.931407464566426,246,2830,0,2826,0.01413,1,0.1185925354335619,0.0,-16.049999999999986,0.0,0.0,-15.931407464566426,1.0
3100,-13.421996699706368,373,-13.421996699706368,373,3100,0,3094,0.01547,2,0.1780033002936322,0.0,-13.599999999999998,0.0,0.0,-13.421996699706368,1.0
3359,-18.001237316463275,297,-18.001237316463275,297,3359,0,3353,0.016765,3,0.1487626835366954,0.0,-18.149999999999967,0.0,0.0,-18.001237316463275,1.0
3702,-11.51974298112289,252,-11.51974298112289,252,3702,0,3696,0.01848,1,0.13025701887711236,0.0,-11.650000000000002,0.0,0.0,-11.51974298112289,1.0
4075,-7.482038340692939,306,-7.482038340692939,306,4075,0,4069,0.020345,0,0.21796165930706518,0.0,-7.700000000000004,0.0,0.0,-7.482038340692939,1.0
4366,-0.21796186563243042,245,-0.21796186563243042,245,4366,0,4360,0.0218,3,0.13203813436756962,0.0,-0.35000000000000003,0.0,0.0,-0.21796186563243042,1.0
4597,-10.119623325928403,238,-10.119623325928403,238,4597,0,4591,0.022955,1,0.0803766740716022,0.0,-10.200000000000006,0.0,0.0,-10.119623325928403,1.0
4934,-25.8522694667318,412,-25.8522694667318,412,4934,0,4928,0.02464,2,0.19773053326814072,0.0,-26.049999999999944,0.0,0.0,-25.8522694667318,1.0
5347,-11.348699207554692,258,-11.348699207554692,258,5347,0,5341,0.026705,3,0.10130079244530721,0.0,-11.449999999999998,0.0,0.0,-11.348699207554692,1.0
5457,-28.40702610165133,243,-28.40702610165133,243,5457,0,5451,0.027255,1,0.09297389834860097,0.0,-28.49999999999993,0.0,0.0,-28.40702610165133,1.0
5485,-10.25849205982167,327,-10.25849205982167,327,5485,0,5479,0.027395,0,0.09150794017833212,0.0,-10.350000000000003,0.0,0.0,-10.25849205982167,1.0
6157,-4.713043882701709,293,-4.713043882701709,293,6157,0,6151,0.030755,2,0.13695611729829207,0.0,-4.850000000000001,0.0,0.0,-4.713043882701709,1.0
6289,-2.3293141558273986,221,-2.3293141558273986,221,6289,0,6283,0.031415,3,0.07068584417260211,0.0,-2.4000000000000004,0.0,0.0,-2.3293141558273986,1.0
6322,-13.528775031462954,216,-13.528775031462954,216,6322,0,6316,0.03158,1,0.07122496853704038,0.0,-13.599999999999996,0.0,0.0,-13.528775031462954,1.0
6508,-14.281620570307187,247,-14.281620570307187,247,6508,0,6502,0.03251,0,0.11837942969280742,0.0,-14.399999999999995,0.0,0.0,-14.281620570307187,1.0
7123,-19.490695586826458,211,-19.490695586826458,211,7123,0,7117,0.035585,3,0.05930441317350968,0.0,-19.54999999999997,0.0,0.0,-19.490695586826458,1.0
7143,-23.981394669905903,261,-23.981394669905903,261,7143,0,7138,0.03569,2,0.1686053300940472,0.0,-24.14999999999995,0.0,0.0,-23.981394669905903,1.0
7211,-17.329657495830354,225,-17.329657495830354,225,7211,0,7205,0.036025,1,0.07034250416962996,0.0,-17.39999999999998,0.0,0.0,-17.329657495830354,1.0
7525,-19.168596974082586,235,-19.168596974082586,235,7525,0,7519,0.037595,0,0.08140302591738494,0.0,-19.24999999999997,0.0,0.0,-19.168596974082586,1.0
8020,-10.30570065232982,233,-10.30570065232982,233,8020,0,8014,0.04007,2,0.09429934767018194,0.0,-10.400000000000002,0.0,0.0,-10.30570065232982,1.0
