step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
649,-13.018589639663697,232,-13.018589639663697,232,649,0,643,0.03215,3,0.08141036033630372,0.0,-13.1,0.0,0.0,-13.018589639663697,1.0
947,-24.30671435016129,241,-24.30671435016129,241,947,0,941,0.04705,0,0.09328564983865488,0.0,-24.39999999999994,0.0,0.0,-24.30671435016129,1.0
1854,-6.753096412326984,361,-6.753096412326984,361,1854,0,1848,0.0924,2,0.1969035876730214,0.0,-6.9500000000000055,0.0,0.0,-6.753096412326984,1.0
2101,-13.099726167264187,281,-13.099726167264187,281,2101,0,2095,0.10475,3,0.200273832735808,0.0,-13.299999999999995,0.0,0.0,-13.099726167264187,1.0
2135,-18.683113223324625,353,-18.683113223324625,353,2135,0,2129,0.10645,1,0.11688677667534869,0.0,-18.799999999999972,0.0,0.0,-18.683113223324625,1.0
2309,-22.52071292485357,278,-22.52071292485357,278,2309,0,2303,0.11515,0,0.12928707514638485,0.0,-22.649999999999952,0.0,0.0,-22.52071292485357,1.0
2704,-12.180954103221058,240,-12.180954103221058,240,2704,0,2698,0.1349,2,0.11904589677893597,0.0,-12.299999999999995,0.0,0.0,-12.180954103221058,1.0
3011,-0.17926084758924404,219,-0.17926084758924404,219,3011,0,3005,0.15025,3,0.07073915241075598,0.0,-0.25,0.0,0.0,-0.17926084758924404,1.0
3023,-13.940094774329136,210,-13.940094774329136,210,3023,0,3019,0.15095,0,0.05990522567085598,0.0,-13.999999999999991,0.0,0.0,-13.940094774329136,1.0
3490,-20.358886152267424,242,-20.358886152267424,242,3490,0,3484,0.1742,2,0.09111384773254394,0.0,-20.449999999999967,0.0,0.0,-20.358886152267424,1.0
3832,-13.691595013825786,231,-13.691595013825786,231,3832,0,3826,0.1913,0,0.10840498617421027,0.0,-13.799999999999995,0.0,0.0,-13.691595013825786,1.0
4068,-16.58848390711907,279,-16.58848390711907,279,4068,0,4062,0.2031,3,0.11151609288091244,0.0,-16.69999999999998,0.0,0.0,-16.58848390711907,1.0
4732,-9.767765694410908,312,-9.767765694410908,312,4732,0,4726,0.2363,2,0.23223430558909539,0.0,-10.000000000000002,0.0,0.0,-9.767765694410908,1.0
4912,-11.229209189954014,222,-11.229209189954014,222,4912,0,4906,0.2453,1,0.07079081004598867,0.0,-11.300000000000002,0.0,0.0,-11.229209189954014,1.0
5068,-14.68923514490542,325,-14.68923514490542,325,5068,0,5062,0.2531,0,0.16076485509457794,0.0,-14.849999999999996,0.0,0.0,-14.68923514490542,1.0
5305,-15.73951411205789,299,-15.73951411205789,299,5305,0,5299,0.26495,3,0.16048588794210683,0.0,-15.899999999999997,0.0,0.0,-15.73951411205789,1.0
5632,-27.408925930935336,242,-27.408925930935336,242,5632,0,5626,0.2813,2,0.09107406906459643,0.0,-27.499999999999932,0.0,0.0,-27.408925930935336,1.0
6188,0.05114470680900243,285,0.05114470680900243,285,6188,0,6182,0.3091,0,0.15114470680900244,0.0,-0.1,0.0,0.0,0.05114470680900243,1.0
6191,0.06481486378545342,264,0.06481486378545342,264,6191,0,6187,0.30935,1,0.16481486378545343,0.0,-0.1,0.0,0.0,0.06481486378545342,1.0
6443,-13.89310680314768,238,-13.89310680314768,238,6443,0,6437,0.32185,2,0.10689319685231086,0.0,-13.999999999999991,0.0,0.0,-13.89310680314768,1.0
7100,-26.65746641863941,248,-26.65746641863941,248,7100,0,7094,0.3547,0,0.0925335813605267,0.0,-26.749999999999932,0.0,0.0,-26.65746641863941,1.0
